id_data,subject,due_date
1,Finance,2023-11-21
2,House,2023-11-10
3,Finance,2023-11-20
4,Food,2023-11-27
5,Finance,2023-11-17
6,House,2023-11-18
7,Finance,2023-12-06
8,Food,2023-11-27
9,Finance,2023-11-17
10,House,2023-11-10
11,Finance,2023-11-11
12,Food,2023-11-10
13,Finance,2023-11-14
14,House,2023-11-27
15,Finance,2023-12-04
16,Food,2023-11-28
17,Finance,2023-11-12
18,House,2023-11-26
19,Finance,2023-11-19
20,Food,2023-11-29
21,Finance,2023-11-21
22,House,2023-11-30
23,Finance,2023-11-27
24,Food,2023-11-26
25,Finance,2023-11-28
26,House,2023-12-06
27,Finance,2023-11-26
28,Food,2023-12-03
29,Finance,2023-11-28
30,House,2023-11-16
31,Finance,2023-12-03
32,Food,2023-11-09
33,Finance,2023-12-03
34,House,2023-11-24
35,Finance,2023-12-02
36,Food,2023-11-27
37,Finance,2023-12-01
38,House,2023-11-27
39,Finance,2023-11-30
40,Food,2023-12-04
41,Finance,2023-11-26
42,House,2023-11-22
43,Finance,2023-11-08
44,Food,2023-12-03
45,Finance,2023-11-24
46,House,2023-11-22
47,Finance,2023-11-20
48,Food,2023-12-07
49,Finance,2023-11-10
50,House,2023-11-10
